tanggal,waktu,id,produk
06/08/2023 09:39:00,09:39:00 AM,65,Fermipan Sachet
06/08/2023 09:43:00,09:43:00 AM,66,Terigu Biasa
06/08/2023 09:43:00,09:43:00 AM,66,Tusuk Sate Pendek
06/08/2023 09:50:00,09:50:00 AM,67,Tepung Ketan Rosebrand
06/08/2023 09:50:00,09:50:00 AM,67,Maizenaku
06/08/2023 09:50:00,09:50:00 AM,67,Diamond Coklat Blok
06/08/2023 09:50:00,09:50:00 AM,67,Roman
06/08/2023 09:50:00,09:50:00 AM,67,Segitiga Biru Kiloan 1kg
06/08/2023 11:15:00,11:15:00 AM,68,Vanili Cair Kupu-kupu
06/08/2023 11:19:00,11:19:00 AM,69,Mika 4x
06/08/2023 11:19:00,11:19:00 AM,69,Bader 15x30
06/08/2023 11:19:00,11:19:00 AM,69,Bader 15x30
06/08/2023 11:19:00,11:19:00 AM,69,Bader 12x25
06/08/2023 11:19:00,11:19:00 AM,69,Bader 12x25
06/08/2023 11:19:00,11:19:00 AM,69,Bader 10x20
06/08/2023 11:19:00,11:19:00 AM,69,Bader 10x20
06/08/2023 11:19:00,11:19:00 AM,69,Bader 10x20
06/08/2023 11:19:00,11:19:00 AM,69,Bader 10x20
06/08/2023 11:19:00,11:19:00 AM,69,Bader 10x20
06/08/2023 11:19:00,11:19:00 AM,69,Plastik Klip 5x8
06/08/2023 11:19:00,11:19:00 AM,69,Buldozer 24 Putih
06/08/2023 11:19:00,11:19:00 AM,69,Buldozer 24 Putih
06/08/2023 11:19:00,11:19:00 AM,69,Buldozer 15 Putih
06/08/2023 11:19:00,11:19:00 AM,69,Mika 7c
06/08/2023 12:44:00,12:44:00 PM,70,Tepung Ketan Hitam
06/08/2023 12:44:00,12:44:00 PM,70,Tepung Ketan Rosebrand
06/08/2023 12:44:00,12:44:00 PM,70,Tepung Ketan Rosebrand
06/08/2023 12:44:00,12:44:00 PM,70,Dancow Sachet
06/08/2023 12:44:00,12:44:00 PM,70,Dancow Sachet
06/08/2023 12:54:00,12:54:00 PM,71,Segitiga Biru Kiloan 1kg
06/08/2023 12:54:00,12:54:00 PM,71,Selai Coklat Biasa 250gr
06/08/2023 13:39:00,01:39:00 PM,72,Thinwall 500ml
06/08/2023 13:39:00,01:39:00 PM,72,Sendok Bebek
06/08/2023 14:04:00,02:04:00 PM,73,Sedotan Kecil
06/08/2023 14:04:00,02:04:00 PM,73,Sedotan Kecil
06/08/2023 14:04:00,02:04:00 PM,73,Plastik Tomat 12x25
06/08/2023 14:21:00,02:21:00 PM,74,Plastik Tahan Panas 15x30
06/08/2023 14:49:00,02:49:00 PM,75,Fermipan Sachet
06/08/2023 14:49:00,02:49:00 PM,75,Segitiga Biru Kemasan 1kg
06/08/2023 14:49:00,02:49:00 PM,75,Claris Oren
06/08/2023 14:49:00,02:49:00 PM,75,Selai Stroberi 250gr
06/08/2023 17:30:00,05:30:00 PM,76,Bader 15x30
06/08/2023 17:30:00,05:30:00 PM,76,Bader 15x30
06/08/2023 18:37:00,06:37:00 PM,77,Kertas Nasi Gulung
06/09/2023 07:21:00,07:21:00 AM,78,Chocochips 100gr
06/09/2023 09:24:00,09:24:00 AM,79,Sterofoam Bubur
06/09/2023 09:26:00,09:26:00 AM,80,Sumpit Kayu
06/09/2023 09:26:00,09:26:00 AM,80,Sumpit Kayu
06/09/2023 09:26:00,09:26:00 AM,80,Kertas Nasi Putih
06/09/2023 09:26:00,09:26:00 AM,80,Mayonais Maestro 1kg
06/09/2023 09:26:00,09:26:00 AM,80,Thinwall 500ml
06/09/2023 10:05:00,10:05:00 AM,81,Sterofoam Mangkok Besar
06/09/2023 10:05:00,10:05:00 AM,81,Sterofoam Seblak
06/09/2023 10:05:00,10:05:00 AM,81,Sedotan Kecil
06/09/2023 10:05:00,10:05:00 AM,81,Selai Coklat Biasa 250gr
06/09/2023 10:05:00,10:05:00 AM,81,Tepung Roti 250gr
06/09/2023 10:05:00,10:05:00 AM,81,Sendok Bebek
06/09/2023 10:09:00,10:09:00 AM,82,Tepung Ketan Hitam
06/09/2023 10:10:00,10:10:00 AM,83,Bader 12x25
06/09/2023 10:10:00,10:10:00 AM,83,Bader 12x25
06/09/2023 10:16:00,10:16:00 AM,84,Cup Bryan
06/09/2023 10:16:00,10:16:00 AM,84,Cup 14 Oz
06/09/2023 10:17:00,10:17:00 AM,85,Cakra Kembar
06/09/2023 10:17:00,10:17:00 AM,85,Glaze Tiramisu
06/09/2023 10:17:00,10:17:00 AM,85,Claris Merah
06/09/2023 10:17:00,10:17:00 AM,85,Diamond Coklat Blok
06/09/2023 10:21:00,10:21:00 AM,86,Dus Donat
06/09/2023 10:21:00,10:21:00 AM,86,Dus Donat
06/09/2023 11:08:00,11:08:00 AM,87,Sterofoam Seblak
06/09/2023 11:08:00,11:08:00 AM,87,Sendok Bebek
06/09/2023 13:44:00,01:44:00 PM,88,Mika 7c
06/09/2023 13:44:00,01:44:00 PM,88,Pewarna Hijau Muda
06/09/2023 13:44:00,01:44:00 PM,88,Vanili Pepaya
06/09/2023 14:01:00,02:01:00 PM,89,Cup 12 Oz
06/09/2023 15:39:00,03:39:00 PM,90,Wayang 14x25x05
06/10/2023 07:50:00,07:50:00 AM,91,Wincheez
06/10/2023 07:50:00,07:50:00 AM,91,Dus Donat
06/10/2023 07:50:00,07:50:00 AM,91,Dus Donat
06/10/2023 08:16:00,08:16:00 AM,92,Palmia 200gr
06/10/2023 08:16:00,08:16:00 AM,92,Sp
06/10/2023 08:16:00,08:16:00 AM,92,Terigu Biasa
06/10/2023 08:17:00,08:17:00 AM,93,Tepung Roti 250gr
06/10/2023 08:17:00,08:17:00 AM,93,fermipan 50gr
06/10/2023 13:15:00,01:15:00 PM,94,Bader 15x30
06/10/2023 13:15:00,01:15:00 PM,94,Bader 15x30
06/10/2023 13:18:00,01:18:00 PM,95,Plastik Tahan Panas 15x30
06/10/2023 13:47:00,01:47:00 PM,96,Terigu Biasa
06/10/2023 15:19:00,03:19:00 PM,97,Wayang 14x25x05
06/10/2023 15:28:00,03:28:00 PM,98,Bader 12x25
06/10/2023 15:28:00,03:28:00 PM,98,Bader 12x25
06/10/2023 15:28:00,03:28:00 PM,98,Bader 10x20
06/10/2023 15:28:00,03:28:00 PM,98,Bader 10x20
06/10/2023 17:31:00,05:31:00 PM,99,Terigu Biasa
06/10/2023 17:31:00,05:31:00 PM,99,Selai Coklat Biasa 250gr
06/10/2023 17:31:00,05:31:00 PM,99,Tepung Roti 250gr
06/10/2023 17:43:00,05:43:00 PM,100,Cup Bryan
06/11/2023 07:41:00,07:41:00 AM,101,Terigu Biasa
06/11/2023 07:41:00,07:41:00 AM,101,Tusuk Sate Panjang
06/11/2023 07:42:00,07:42:00 AM,102,Tusuk Sate Panjang
06/11/2023 07:42:00,07:42:00 AM,102,Digimon 1 Gelas
06/11/2023 08:53:00,08:53:00 AM,103,Cup 12 Oz
06/11/2023 08:53:00,08:53:00 AM,103,Sterofoam Mangkok Besar
06/11/2023 08:58:00,08:58:00 AM,104,Kertas Nasi Gulung
06/11/2023 08:58:00,08:58:00 AM,104,Kertas Nasi Gulung
06/11/2023 09:17:00,09:17:00 AM,105,Kertas Nasi Gulung
06/11/2023 09:17:00,09:17:00 AM,105,Kertas Nasi Gulung
06/11/2023 09:17:00,09:17:00 AM,105,Kertas Nasi Gulung
06/11/2023 10:15:00,10:15:00 AM,106,Good Day Cappucino
06/11/2023 11:04:00,11:04:00 AM,107,Gula Pasir 250gr
06/11/2023 15:12:00,03:12:00 PM,108,Plastik Tahan Panas 15x30
06/11/2023 16:00:00,04:00:00 PM,109,Plastik Tomat 20x35
06/11/2023 16:01:00,04:01:00 PM,110,Cup 14 Oz
06/11/2023 16:01:00,04:01:00 PM,110,Cup 16 Oz
06/11/2023 16:01:00,04:01:00 PM,110,Karet Merah
06/11/2023 16:01:00,04:01:00 PM,110,Karet Merah
06/11/2023 18:36:00,06:36:00 PM,111,Wayang 7x15x05
06/12/2023 06:54:00,06:54:00 AM,112,Diamond Coklat Blok
06/12/2023 06:54:00,06:54:00 AM,112,Tepung Roti 250gr
06/12/2023 07:32:00,07:32:00 AM,113,Sterofoam Mangkok Besar
06/12/2023 07:32:00,07:32:00 AM,113,Bader 12x25
06/12/2023 07:32:00,07:32:00 AM,113,Glaze Tiramisu
06/12/2023 08:09:00,08:09:00 AM,114,Kresek Tomat 24
06/12/2023 08:09:00,08:09:00 AM,114,Plastik Klip 5x8
06/12/2023 08:54:00,08:54:00 AM,115,Sedotan Boba
06/12/2023 08:55:00,08:55:00 AM,116,Wijen 250gr
06/12/2023 08:55:00,08:55:00 AM,116,Tepung Ketan Rosebrand
06/12/2023 08:55:00,08:55:00 AM,116,Sarung Tangan Plastik
06/12/2023 08:55:00,08:55:00 AM,116,Mika 4xc
06/12/2023 09:00:00,09:00:00 AM,117,Wrap Cling 30cm
06/12/2023 13:20:00,01:20:00 PM,118,Sterofoam Seblak
06/12/2023 14:11:00,02:11:00 PM,119,Mayonais Mamayo 1kg
06/12/2023 14:11:00,02:11:00 PM,119,Thinwall 500ml
06/12/2023 14:11:00,02:11:00 PM,119,Thinwall 500ml
06/12/2023 14:13:00,02:13:00 PM,120,Plastik Tomat 15x35
06/12/2023 15:23:00,03:23:00 PM,121,Wayang 11x25x05
06/12/2023 15:23:00,03:23:00 PM,121,Wayang 14x25x05
06/12/2023 15:51:00,03:51:00 PM,122,Mika Brownis Uk L
06/13/2023 06:15:00,06:15:00 AM,123,Thinwall 450ml
06/13/2023 06:15:00,06:15:00 AM,123,Dairy Champ
06/13/2023 06:15:00,06:15:00 AM,123,Tepung Roti 250gr
06/13/2023 06:15:00,06:15:00 AM,123,Tepung Roti 250gr
06/13/2023 06:15:00,06:15:00 AM,123,Tepung Roti 250gr
06/13/2023 06:15:00,06:15:00 AM,123,Tepung Roti 250gr
06/13/2023 11:53:00,11:53:00 AM,124,Claris Merah
06/13/2023 11:53:00,11:53:00 AM,124,Sterofoam Seblak
06/13/2023 11:53:00,11:53:00 AM,124,Sterofoam Mangkok Besar
06/13/2023 13:05:00,01:05:00 PM,125,Tepung Ketan Rosebrand
